log_id,driver_id,vehicle_id,route_id,timestamp,location,status,fuel_level,speed_kmh,issue_reported
FL_20018,DRV_1004,VH_2027,RT_420,2025-09-21T05:13:44.853133,Pune,unloading,45.73640568225676,59.36330618995562,
FL_20019,DRV_1020,VH_2005,RT_920,2025-09-09T12:34:44.853133,Pune,active,73.85490654120409,33.415516787478445,
FL_20020,DRV_1037,VH_2012,RT_636,2025-09-10T17:07:44.853133,Mumbai,unloading,42.56674221107132,34.93694236545822,
FL_20021,DRV_1033,VH_2016,RT_298,2025-09-08T03:56:44.853133,Kolkata,active,40.55619530336175,26.64548979945056,
FL_20022,DRV_1009,VH_2008,RT_302,2025-09-07T05:55:44.853133,Delhi,active,96.24010140974353,51.63543809356511,
FL_20023,DRV_1029,VH_2024,RT_677,2025-09-14T22:57:44.853133,Kolkata,unloading,78.32371420410135,6.028261886326147,
FL_20024,DRV_1040,VH_2010,RT_254,2025-09-14T08:52:44.853133,Chennai,loading,93.17388325470934,45.15934267222394,
FL_20025,DRV_1032,VH_2002,RT_417,2025-08-29T09:37:44.853133,Chennai,loading,66.82466080228863,63.70637433211425,
FL_20026,DRV_1039,VH_2019,RT_619,2025-09-09T19:12:44.853133,Chennai,active,43.18638395408315,22.966162608105538,
FL_20027,DRV_1012,VH_2010,RT_719,2025-09-10T12:44:44.853133,Chennai,accident,95.88083290505112,59.11368363849924,traffic_violation
FL_20028,DRV_1032,VH_2020,RT_276,2025-09-11T22:12:44.853133,Mumbai,active,50.547079811358216,64.87734490580965,
FL_20029,DRV_1023,VH_2029,RT_389,2025-09-03T16:37:44.853133,Chennai,loading,99.18874203821987,41.92548425361396,
FL_20030,DRV_1021,VH_2003,RT_671,2025-09-09T04:52:44.853133,Hyderabad,active,63.809727614469054,63.13815452509318,
FL_20031,DRV_1021,VH_2002,RT_696,2025-09-08T03:25:44.853133,Hyderabad,idle,75.13602895022156,52.52512691283823,
FL_20032,DRV_1019,VH_2017,RT_485,2025-08-31T05:28:44.853133,Hyderabad,active,97.09268569234702,55.87839702495047,
FL_20033,DRV_1041,VH_2021,RT_533,2025-09-21T05:01:44.853133,Pune,active,21.501438769031132,56.22646977243362,
FL_20034,DRV_1012,VH_2007,RT_240,2025-09-06T18:32:44.853133,Delhi,unloading,37.79794630574928,76.09354508769074,
FL_20035,DRV_1042,VH_2010,RT_997,2025-08-29T04:03:44.853133,Kolkata,active,80.93081563042601,40.6151770179717,
FL_20036,DRV_1046,VH_2014,RT_144,2025-09-14T22:47:44.853133,Chennai,idle,43.90478837402722,12.97977696707604,
FL_20037,DRV_1014,VH_2017,RT_344,2025-09-07T15:55:44.853133,Bangalore,unloading,31.377718130223254,35.53589678442205,
FL_20038,DRV_1029,VH_2024,RT_388,2025-09-26T10:06:44.853133,Kolkata,unloading,85.16020534531367,29.427276658002626,
FL_20039,DRV_1016,VH_2001,RT_756,2025-09-08T10:42:44.853133,Chennai,idle,47.67947440567712,12.964653859669708,
FL_20040,DRV_1018,VH_2002,RT_881,2025-09-23T05:44:44.853133,Delhi,active,94.08641985977498,56.91207816952006,
FL_20041,DRV_1028,VH_2028,RT_457,2025-09-04T09:06:44.853133,Mumbai,breakdown,56.20174641356898,66.48373749105487,maintenance_required
FL_20042,DRV_1014,VH_2000,RT_426,2025-09-08T19:34:44.853133,Mumbai,loading,55.18064032239119,18.86224590907461,
FL_20043,DRV_1008,VH_2024,RT_822,2025-09-22T16:50:44.853133,Chennai,maintenance,40.176132032455925,11.683944545745604,traffic_violation
FL_20044,DRV_1035,VH_2023,RT_723,2025-09-10T13:09:44.853133,Pune,idle,91.52717401929438,1.5203107928776305,
FL_20045,DRV_1039,VH_2014,RT_164,2025-09-08T21:58:44.853133,Mumbai,maintenance,35.929142023530744,24.092095566897598,traffic_violation
FL_20046,DRV_1018,VH_2013,RT_101,2025-09-22T09:47:44.853133,Pune,idle,58.24484058826551,50.55639536105139,
FL_20047,DRV_1033,VH_2017,RT_619,2025-09-07T01:45:44.853133,Kolkata,maintenance,47.49108356876858,53.14970413936073,engine_trouble
FL_20048,DRV_1016,VH_2023,RT_116,2025-09-12T11:10:44.853133,Bangalore,loading,45.14083593040577,37.61080625267888,
FL_20049,DRV_1008,VH_2001,RT_460,2025-09-20T20:31:44.853133,Pune,loading,31.701333194708017,52.56835200086651,
FL_20050,DRV_1040,VH_2005,RT_930,2025-09-06T14:20:44.853133,Delhi,unloading,84.73452910872425,54.77460531271868,
FL_20051,DRV_1002,VH_2010,RT_417,2025-08-29T16:58:44.853133,Pune,idle,94.92446356409164,2.958703215982057,
FL_20052,DRV_1049,VH_2001,RT_986,2025-09-08T11:39:44.853133,Hyderabad,loading,32.798238868235565,60.26327350550919,
FL_20053,DRV_1024,VH_2010,RT_291,2025-09-06T02:16:44.853133,Chennai,unloading,81.94081703664158,34.95611064999491,
FL_20054,DRV_1005,VH_2013,RT_716,2025-09-18T09:32:44.853133,Kolkata,unloading,93.18794199642673,41.542068282795356,
FL_20055,DRV_1028,VH_2019,RT_834,2025-09-01T11:27:44.853133,Chennai,loading,38.90902853931347,6.40551288599962,
FL_20056,DRV_1039,VH_2013,RT_381,2025-09-01T16:37:44.853133,Hyderabad,loading,41.63922853947929,3.388413028010362,
FL_20057,DRV_1001,VH_2004,RT_969,2025-09-20T19:13:44.853133,Pune,idle,70.40655000043012,32.496818520612194,
FL_20058,DRV_1024,VH_2018,RT_133,2025-09-17T08:11:44.853133,Pune,loading,21.360702187202882,18.879630433628183,
FL_20059,DRV_1033,VH_2011,RT_507,2025-08-31T15:37:44.853133,Bangalore,idle,95.39411763390008,29.761070277654696,
FL_20060,DRV_1035,VH_2003,RT_368,2025-09-16T02:24:44.853133,Kolkata,unloading,96.44680470384937,2.0730672691314567,
FL_20061,DRV_1012,VH_2003,RT_238,2025-09-04T16:37:44.853133,Kolkata,unloading,29.311338288134777,48.950174621091406,
FL_20062,DRV_1020,VH_2021,RT_455,2025-08-29T08:20:44.853133,Hyderabad,accident,90.88111277076074,35.608895419396404,maintenance_required
FL_20063,DRV_1023,VH_2016,RT_329,2025-08-29T11:43:44.853133,Mumbai,idle,36.132605450003226,23.996534258939057,
FL_20064,DRV_1029,VH_2025,RT_664,2025-09-01T22:24:44.853133,Delhi,loading,81.13357547269743,2.1027221446612554,
FL_20065,DRV_1049,VH_2013,RT_943,2025-09-14T20:13:44.853133,Pune,unloading,37.83616457756159,79.96760351475095,
FL_20066,DRV_1008,VH_2028,RT_948,2025-08-28T22:29:44.853133,Kolkata,loading,67.81047304477431,35.997959653039686,
FL_20067,DRV_1007,VH_2016,RT_256,2025-09-13T14:46:44.853133,Bangalore,active,26.37668228969236,77.30116911472854,
FL_20068,DRV_1005,VH_2008,RT_301,2025-08-31T23:29:44.853133,Hyderabad,loading,94.12640529751697,18.03762277723734,
FL_20069,DRV_1037,VH_2018,RT_257,2025-09-26T11:26:44.853133,Delhi,idle,21.265326561421244,24.225968488710087,
FL_20070,DRV_1001,VH_2002,RT_146,2025-09-17T13:55:44.853133,Hyderabad,active,91.18008043216543,27.009566928464174,
FL_20071,DRV_1031,VH_2028,RT_742,2025-09-20T12:25:44.853133,Pune,active,68.60169797370398,61.356720073304885,
FL_20072,DRV_1029,VH_2002,RT_805,2025-09-05T14:28:44.853133,Mumbai,loading,53.46503363578775,64.37505233725864,
FL_20073,DRV_1045,VH_2010,RT_851,2025-09-01T08:35:44.853133,Kolkata,loading,53.58260170966233,16.321841085071895,
FL_20074,DRV_1029,VH_2003,RT_373,2025-09-07T06:17:44.853133,Chennai,idle,78.45984953156574,41.19841072657777,
FL_20075,DRV_1015,VH_2027,RT_263,2025-09-02T22:15:44.853133,Kolkata,unloading,14.554476262026125,75.63079141625751,
FL_20076,DRV_1031,VH_2028,RT_415,2025-09-06T12:55:44.853133,Chennai,unloading,38.14434287760457,61.04971001109028,
FL_20077,DRV_1003,VH_2001,RT_388,2025-08-26T20:34:44.853133,Chennai,loading,55.49000167213944,77.33493044419804,
FL_20078,DRV_1008,VH_2028,RT_370,2025-09-15T14:52:44.853133,Hyderabad,unloading,52.352816803137614,42.93525994311416,
FL_20079,DRV_1035,VH_2009,RT_175,2025-09-07T06:32:44.853133,Chennai,loading,14.07181550601382,4.092614990640664,
FL_20080,DRV_1008,VH_2003,RT_503,2025-09-12T08:57:44.853133,Bangalore,active,59.48713805656776,66.02490543668908,
FL_20081,DRV_1032,VH_2001,RT_146,2025-09-21T04:44:44.853133,Mumbai,unloading,94.50537102598379,60.39721378342351,
FL_20082,DRV_1020,VH_2029,RT_727,2025-08-31T16:30:44.853133,Bangalore,idle,82.35692696747908,41.54661682664666,
FL_20083,DRV_1045,VH_2018,RT_406,2025-09-01T06:48:44.853133,Chennai,unloading,76.53874245162437,23.938747402265463,
FL_20084,DRV_1046,VH_2027,RT_804,2025-09-21T18:32:44.853133,Hyderabad,loading,39.811563422103035,8.768367159305823,
FL_20085,DRV_1046,VH_2001,RT_697,2025-08-27T13:39:44.853133,Chennai,idle,33.89773932871492,52.44727777415751,
FL_20086,DRV_1002,VH_2018,RT_817,2025-09-01T10:49:44.853133,Mumbai,idle,74.9064551724212,61.96849038670487,
FL_20087,DRV_1032,VH_2024,RT_726,2025-09-01T18:37:44.853133,Chennai,unloading,38.23232351012697,12.114500649547635,
FL_20088,DRV_1042,VH_2015,RT_638,2025-09-23T17:55:44.853133,Chennai,loading,15.605315741298876,11.046598862816817,
FL_20089,DRV_1039,VH_2015,RT_296,2025-09-05T23:38:44.853133,Delhi,loading,92.09117448316094,27.386161414547693,
FL_20090,DRV_1045,VH_2006,RT_806,2025-09-04T11:28:44.853133,Hyderabad,loading,30.238033419353503,77.83285020724551,
FL_20091,DRV_1018,VH_2003,RT_687,2025-09-11T04:39:44.853133,Hyderabad,loading,41.39228567811759,74.69602998166405,
FL_20092,DRV_1018,VH_2001,RT_394,2025-09-13T07:06:44.853133,Hyderabad,idle,98.2144483589226,65.47019681044499,
FL_20093,DRV_1034,VH_2008,RT_675,2025-08-29T06:08:44.853133,Hyderabad,idle,49.81385006783518,20.515518037878564,
FL_20094,DRV_1040,VH_2007,RT_153,2025-09-03T22:15:44.853133,Mumbai,idle,65.41093309730431,46.946439885665214,
FL_20095,DRV_1026,VH_2020,RT_999,2025-09-09T04:54:44.853133,Chennai,idle,52.51635163313926,54.49535892651441,
FL_20096,DRV_1049,VH_2002,RT_767,2025-09-11T14:21:44.853133,Pune,active,78.03199534678656,22.979603005151567,
FL_20097,DRV_1026,VH_2028,RT_957,2025-09-03T11:56:44.853133,Delhi,idle,75.0805910418181,74.93355038005008,
FL_20098,DRV_1002,VH_2000,RT_405,2025-09-24T20:02:44.853133,Pune,loading,45.729511685046965,39.63071178574062,
FL_20099,DRV_1008,VH_2027,RT_616,2025-09-14T22:08:44.853133,Chennai,unloading,98.46944995339058,22.7649321880037,
FL_20100,DRV_1045,VH_2005,RT_114,2025-09-04T01:00:44.853133,Hyderabad,loading,20.138208491813902,12.999541003179091,
FL_20101,DRV_1027,VH_2016,RT_435,2025-09-06T03:45:44.853133,Mumbai,unloading,70.69610259052699,15.452903017696684,
FL_20102,DRV_1000,VH_2008,RT_492,2025-09-08T15:15:44.853133,Delhi,idle,26.6303080942606,11.248950050743876,
FL_20103,DRV_1044,VH_2007,RT_163,2025-09-10T02:30:44.853133,Hyderabad,accident,37.17512557224532,57.830602272079794,fuel_shortage
FL_20104,DRV_1044,VH_2003,RT_754,2025-08-30T08:28:44.853133,Bangalore,loading,24.37451427048068,54.88588959128884,
FL_20105,DRV_1026,VH_2022,RT_662,2025-09-07T13:23:44.853133,Chennai,loading,29.721574084180954,10.68550257574433,
FL_20106,DRV_1033,VH_2014,RT_640,2025-09-20T12:00:44.853133,Hyderabad,active,69.76849954056974,17.472929812586074,
FL_20107,DRV_1036,VH_2017,RT_253,2025-09-06T21:07:44.853133,Delhi,idle,60.77518500461273,4.940643804534703,
FL_20108,DRV_1032,VH_2014,RT_928,2025-09-06T10:37:44.853133,Mumbai,active,20.46160199661978,16.432118843148924,
FL_20109,DRV_1046,VH_2000,RT_505,2025-09-09T22:41:44.853133,Bangalore,loading,47.388211646019386,45.11289480789707,
FL_20110,DRV_1034,VH_2001,RT_170,2025-09-21T18:56:44.853133,Chennai,active,29.611117780566317,5.842362073236584,
FL_20111,DRV_1023,VH_2028,RT_491,2025-08-28T03:35:44.853133,Chennai,unloading,26.19831941431377,10.83430931915502,
FL_20112,DRV_1041,VH_2027,RT_456,2025-09-23T06:33:44.853133,Mumbai,idle,17.222499336643004,77.13155011045488,
FL_20113,DRV_1048,VH_2000,RT_405,2025-09-01T11:34:44.853133,Chennai,active,57.59582855896083,58.22865127249025,
FL_20114,DRV_1022,VH_2004,RT_382,2025-09-17T17:43:44.853133,Delhi,unloading,48.17152267600614,30.342117442703504,
FL_20115,DRV_1015,VH_2006,RT_168,2025-09-25T17:57:44.853133,Mumbai,active,20.15601748898296,64.75825468313556,
FL_20116,DRV_1025,VH_2014,RT_339,2025-09-14T19:37:44.853133,Pune,accident,63.80064070583974,56.262901349194294,engine_trouble
FL_20117,DRV_1036,VH_2019,RT_891,2025-09-01T19:17:44.853133,Hyderabad,loading,55.35062640468411,23.141076108313506,
FL_20118,DRV_1026,VH_2009,RT_381,2025-09-22T04:24:44.853133,Mumbai,idle,37.1587991629783,11.460834733066294,
FL_20119,DRV_1003,VH_2011,RT_758,2025-09-13T13:05:44.853133,Hyderabad,unloading,76.16908983917526,14.010655061002453,
FL_20120,DRV_1048,VH_2017,RT_584,2025-09-08T10:29:44.853133,Delhi,idle,72.66775665781807,32.660734146367076,
FL_20121,DRV_1035,VH_2013,RT_526,2025-09-23T01:28:44.853133,Pune,active,87.17871147157186,11.548139933214276,
FL_20122,DRV_1023,VH_2002,RT_648,2025-09-11T22:33:44.853133,Hyderabad,unloading,31.857266448062717,16.266938644804352,
FL_20123,DRV_1012,VH_2025,RT_879,2025-09-22T00:12:44.853133,Pune,active,34.16154290694831,53.89375365076628,
FL_20124,DRV_1000,VH_2006,RT_294,2025-09-19T15:44:44.853133,Hyderabad,loading,29.531486951898618,16.711127084180024,
FL_20125,DRV_1025,VH_2029,RT_345,2025-08-30T17:57:44.853133,Pune,idle,53.10287887081292,19.40745454765932,
FL_20126,DRV_1032,VH_2028,RT_609,2025-09-06T03:33:44.853133,Chennai,loading,51.962541476104484,51.89770719960901,
FL_20127,DRV_1026,VH_2001,RT_676,2025-08-30T17:39:44.853133,Kolkata,loading,78.54660723787401,25.618662783104476,
FL_20128,DRV_1018,VH_2004,RT_300,2025-09-03T17:18:44.853133,Bangalore,unloading,11.459791090113443,44.26492508337393,
FL_20129,DRV_1016,VH_2024,RT_941,2025-09-03T06:45:44.853133,Chennai,loading,85.00264437582867,39.944118589545795,
FL_20130,DRV_1010,VH_2004,RT_837,2025-09-26T17:50:44.853133,Pune,loading,76.56346815938952,36.86631987585642,
FL_20131,DRV_1004,VH_2026,RT_784,2025-09-11T00:07:44.853133,Mumbai,active,90.04280767435071,79.22588327038851,
FL_20132,DRV_1013,VH_2016,RT_566,2025-09-19T18:35:44.853133,Bangalore,breakdown,22.374237744726415,50.4561318346461,engine_trouble
FL_20133,DRV_1001,VH_2000,RT_644,2025-08-28T13:49:44.853133,Pune,unloading,70.00792565980058,49.32154888674703,
FL_20134,DRV_1032,VH_2026,RT_814,2025-09-08T18:10:44.853133,Hyderabad,active,57.647588215748556,21.97925897582656,
FL_20135,DRV_1022,VH_2008,RT_914,2025-09-08T23:15:44.853133,Chennai,loading,92.62439600131101,41.950832098065305,
FL_20136,DRV_1043,VH_2026,RT_968,2025-08-29T05:34:44.853133,Mumbai,loading,51.30979709960666,19.45663153543056,
FL_20137,DRV_1003,VH_2020,RT_109,2025-09-16T14:57:44.853133,Hyderabad,unloading,12.851605329029594,32.4222638483429,
FL_20138,DRV_1033,VH_2029,RT_143,2025-08-31T20:40:44.853133,Delhi,active,86.07968150862953,51.59257935546417,
FL_20139,DRV_1034,VH_2018,RT_773,2025-09-02T17:05:44.853133,Mumbai,loading,61.01057322915663,21.687604216672156,
FL_20140,DRV_1004,VH_2009,RT_266,2025-09-01T04:10:44.853133,Pune,unloading,96.53222708884053,46.96288832675907,
FL_20141,DRV_1048,VH_2023,RT_243,2025-09-03T13:02:44.853133,Kolkata,unloading,86.4498182760484,54.16279727013454,
FL_20142,DRV_1004,VH_2010,RT_719,2025-09-18T17:14:44.853133,Kolkata,maintenance,55.07135664739526,77.94586619487971,flat_tire
FL_20143,DRV_1031,VH_2007,RT_464,2025-09-15T13:34:44.853133,Pune,unloading,97.20284744813995,26.110131758228334,
FL_20144,DRV_1015,VH_2022,RT_175,2025-09-26T06:36:44.853133,Mumbai,loading,26.71640613058609,46.8700096968841,
FL_20145,DRV_1023,VH_2003,RT_193,2025-09-03T22:33:44.853133,Mumbai,loading,74.0509439300755,50.71207055704407,
FL_20146,DRV_1027,VH_2014,RT_670,2025-09-26T03:37:44.853133,Pune,idle,42.39257476122069,21.581315459150918,
FL_20147,DRV_1020,VH_2027,RT_494,2025-09-12T07:15:44.853133,Mumbai,accident,12.363571361196747,28.313142987620708,maintenance_required
FL_20148,DRV_1036,VH_2016,RT_273,2025-09-05T07:33:44.853133,Hyderabad,idle,80.12521950619634,57.987507522783304,
FL_20149,DRV_1027,VH_2008,RT_531,2025-09-07T23:17:44.853133,Bangalore,idle,34.20270671771328,21.472543771936856,
