order_id,client_id,warehouse_id,driver_id,pickup_location,delivery_location,order_date,delivery_date,status,priority,failure_reason,delay_minutes,customer_rating
ORD_10035,Client_J,WH_PUN_1,DRV_1007,Chennai,Pune,2025-08-27T21:47:44.852366,2025-08-29T21:47:44.852366,in_transit,medium,,0,
ORD_10036,Client_F,WH_PUN_2,DRV_1020,Hyderabad,Kolkata,2025-09-03T19:54:44.852366,2025-09-05T23:54:44.852366,delivered,low,,240,4.923311728956971
ORD_10037,Client_E,WH_PUN_1,DRV_1008,Delhi,Chennai,2025-09-19T03:41:44.852366,2025-09-21T03:41:44.852366,processing,urgent,,0,
ORD_10038,Client_A,WH_BAN_1,DRV_1018,Delhi,Chennai,2025-09-17T18:06:44.852366,2025-09-18T18:06:44.852366,processing,high,,0,
ORD_10039,Client_C,WH_MUM_2,DRV_1018,Pune,Hyderabad,2025-09-10T08:37:44.852366,2025-09-13T16:37:44.852366,processing,high,,480,
ORD_10040,Client_J,WH_MUM_2,DRV_1029,Chennai,Hyderabad,2025-08-29T01:52:44.852366,2025-08-31T05:52:44.852366,failed,medium,vehicle_breakdown,240,2.4759040341727774
ORD_10041,Client_B,WH_CHE_1,DRV_1014,Delhi,Kolkata,2025-09-18T16:33:44.852366,2025-09-20T16:33:44.852366,returned,urgent,address_not_found,0,2.33898973931705
ORD_10042,Client_I,WH_PUN_1,DRV_1038,Bangalore,Kolkata,2025-08-28T11:24:44.852366,2025-08-29T11:24:44.852366,processing,urgent,,0,
ORD_10043,Client_C,WH_CHE_2,DRV_1028,Bangalore,Kolkata,2025-09-15T18:06:44.852366,2025-09-18T18:06:44.852366,in_transit,medium,,0,
ORD_10044,Client_B,WH_BAN_1,DRV_1015,Bangalore,Bangalore,2025-09-22T14:26:44.852366,2025-09-25T14:26:44.852366,in_transit,high,,0,
ORD_10045,Client_D,WH_MUM_2,DRV_1026,Chennai,Bangalore,2025-09-24T11:14:44.852366,2025-09-25T18:14:44.852366,processing,urgent,,420,
ORD_10046,Client_A,WH_PUN_2,DRV_1024,Chennai,Mumbai,2025-09-08T19:22:44.852366,2025-09-10T19:22:44.852366,processing,high,,0,
ORD_10047,Client_D,WH_CHE_2,DRV_1014,Bangalore,Chennai,2025-09-05T07:03:44.852366,2025-09-07T07:03:44.852366,processing,urgent,,0,
ORD_10048,Client_C,WH_PUN_2,DRV_1034,Mumbai,Chennai,2025-08-27T06:30:44.852366,2025-08-30T06:30:44.852366,delivered,low,,0,4.760758494593838
ORD_10049,Client_G,WH_BAN_2,DRV_1013,Chennai,Bangalore,2025-08-29T14:36:44.852366,2025-08-30T14:36:44.852366,in_transit,high,,0,
ORD_10050,Client_I,WH_MUM_1,DRV_1022,Delhi,Hyderabad,2025-09-20T06:26:44.852366,2025-09-22T08:26:44.852366,processing,low,,120,
ORD_10051,Client_D,WH_DEL_1,DRV_1030,Hyderabad,Mumbai,2025-09-20T14:11:44.852366,2025-09-21T14:11:44.852366,delivered,medium,,0,4.432003484879237
ORD_10052,Client_B,WH_PUN_2,DRV_1001,Bangalore,Pune,2025-09-10T16:25:44.852366,2025-09-12T18:25:44.852366,delivered,urgent,,120,4.947081159551131
ORD_10053,Client_E,WH_PUN_2,DRV_1007,Kolkata,Pune,2025-09-08T16:21:44.852366,2025-09-09T16:21:44.852366,delivered,low,,0,3.6528519581689647
ORD_10054,Client_A,WH_CHE_1,DRV_1031,Mumbai,Chennai,2025-09-07T11:36:44.852366,2025-09-10T11:36:44.852366,in_transit,high,,0,
ORD_10055,Client_E,WH_PUN_2,DRV_1034,Kolkata,Chennai,2025-09-16T08:54:44.852366,2025-09-17T08:54:44.852366,processing,urgent,,0,
ORD_10056,Client_H,WH_DEL_2,DRV_1048,Chennai,Pune,2025-09-09T17:46:44.852366,2025-09-11T17:46:44.852366,delivered,urgent,,0,3.918392373788705
ORD_10057,Client_F,WH_BAN_1,DRV_1038,Hyderabad,Bangalore,2025-09-05T18:40:44.852366,2025-09-07T22:40:44.852366,in_transit,low,,240,
ORD_10058,Client_H,WH_CHE_2,DRV_1001,Mumbai,Bangalore,2025-09-12T00:14:44.852366,2025-09-13T00:14:44.852366,delivered,medium,,0,4.535914009169785
ORD_10059,Client_I,WH_BAN_2,DRV_1027,Hyderabad,Pune,2025-09-08T16:24:44.852366,2025-09-10T16:24:44.852366,processing,high,,0,
ORD_10060,Client_D,WH_BAN_2,DRV_1007,Hyderabad,Pune,2025-09-07T16:38:44.852366,2025-09-09T16:38:44.852366,processing,medium,,0,
ORD_10061,Client_F,WH_DEL_1,DRV_1019,Mumbai,Hyderabad,2025-09-02T00:56:44.852366,2025-09-04T05:56:44.852366,delivered,medium,,300,3.9443696948977167
ORD_10062,Client_B,WH_MUM_1,DRV_1036,Bangalore,Chennai,2025-09-03T19:12:44.852366,2025-09-06T22:12:44.852366,in_transit,urgent,,180,
ORD_10063,Client_J,WH_MUM_1,DRV_1009,Delhi,Kolkata,2025-09-10T04:20:44.852366,2025-09-11T12:20:44.852366,failed,high,inventory_shortage,480,1.7376198404366021
ORD_10064,Client_D,WH_PUN_1,DRV_1024,Chennai,Chennai,2025-08-29T01:16:44.852366,2025-09-01T01:16:44.852366,processing,high,,0,
ORD_10065,Client_D,WH_DEL_2,DRV_1016,Hyderabad,Mumbai,2025-09-23T12:36:44.852366,2025-09-25T12:36:44.852366,returned,medium,customer_unavailable,0,2.421385300488067
ORD_10066,Client_H,WH_BAN_1,DRV_1002,Delhi,Bangalore,2025-09-02T23:44:44.852366,2025-09-04T06:44:44.852366,processing,high,,420,
ORD_10067,Client_J,WH_DEL_2,DRV_1027,Mumbai,Pune,2025-09-18T08:13:44.852366,2025-09-21T13:13:44.852366,processing,medium,,300,
ORD_10068,Client_J,WH_BAN_1,DRV_1028,Mumbai,Chennai,2025-09-15T23:07:44.852366,2025-09-17T23:07:44.852366,failed,high,traffic_jam,0,1.892566055979107
ORD_10069,Client_A,WH_CHE_1,DRV_1047,Bangalore,Pune,2025-09-18T06:26:44.852366,2025-09-21T06:26:44.852366,processing,high,,0,
ORD_10070,Client_E,WH_PUN_2,DRV_1002,Kolkata,Kolkata,2025-08-26T20:23:44.852366,2025-08-29T20:23:44.852366,delivered,medium,,0,4.999358625316177
ORD_10071,Client_G,WH_CHE_2,DRV_1005,Chennai,Bangalore,2025-09-11T10:50:44.852366,2025-09-13T10:50:44.852366,processing,urgent,,0,
ORD_10072,Client_H,WH_BAN_1,DRV_1042,Chennai,Kolkata,2025-09-06T04:51:44.852366,2025-09-07T04:51:44.852366,processing,low,,0,
ORD_10073,Client_I,WH_MUM_1,DRV_1042,Kolkata,Pune,2025-09-09T20:29:44.852366,2025-09-11T20:29:44.852366,in_transit,urgent,,0,
ORD_10074,Client_H,WH_MUM_1,DRV_1013,Bangalore,Pune,2025-09-08T19:21:44.852366,2025-09-11T19:21:44.852366,processing,medium,,0,
ORD_10075,Client_C,WH_BAN_1,DRV_1035,Mumbai,Pune,2025-09-25T03:37:44.852366,2025-09-28T03:37:44.852366,returned,urgent,delivery_refused,0,2.198970599911706
ORD_10076,Client_E,WH_PUN_1,DRV_1045,Bangalore,Chennai,2025-08-29T02:02:44.852366,2025-08-30T02:02:44.852366,failed,urgent,damaged_package,0,2.3989795899011566
ORD_10077,Client_C,WH_MUM_2,DRV_1017,Kolkata,Kolkata,2025-09-11T01:38:44.852366,2025-09-14T05:38:44.852366,processing,urgent,,240,
ORD_10078,Client_H,WH_DEL_1,DRV_1028,Pune,Chennai,2025-09-06T10:26:44.852366,2025-09-07T15:26:44.852366,processing,high,,300,
ORD_10079,Client_D,WH_PUN_2,DRV_1024,Delhi,Kolkata,2025-09-06T11:57:44.852366,2025-09-09T11:57:44.852366,delivered,urgent,,0,4.971161946998891
ORD_10080,Client_C,WH_CHE_2,DRV_1002,Delhi,Pune,2025-08-28T04:56:44.852366,2025-08-30T04:56:44.852366,in_transit,high,,0,
ORD_10081,Client_C,WH_MUM_2,DRV_1030,Kolkata,Bangalore,2025-09-22T22:04:44.852366,2025-09-25T06:04:44.852366,failed,high,inventory_shortage,480,2.306399457023829
ORD_10082,Client_G,WH_BAN_2,DRV_1040,Hyderabad,Kolkata,2025-09-15T16:34:44.852366,2025-09-18T22:34:44.852366,processing,urgent,,360,
ORD_10083,Client_B,WH_CHE_1,DRV_1006,Kolkata,Hyderabad,2025-09-23T11:11:44.852366,2025-09-26T16:11:44.852366,processing,low,,300,
ORD_10084,Client_G,WH_DEL_1,DRV_1015,Pune,Chennai,2025-09-09T23:53:44.852366,2025-09-11T23:53:44.852366,failed,medium,traffic_jam,0,1.5376950134505452
ORD_10085,Client_J,WH_DEL_1,DRV_1014,Chennai,Hyderabad,2025-08-31T23:14:44.852366,2025-09-03T23:14:44.852366,delivered,high,,0,4.2465008785519265
ORD_10086,Client_I,WH_DEL_1,DRV_1004,Chennai,Bangalore,2025-09-10T02:51:44.852366,2025-09-11T02:51:44.852366,in_transit,high,,0,
ORD_10087,Client_H,WH_MUM_2,DRV_1015,Chennai,Pune,2025-09-16T07:53:44.852366,2025-09-18T07:53:44.852366,in_transit,high,,0,
ORD_10088,Client_A,WH_PUN_2,DRV_1047,Chennai,Kolkata,2025-09-14T03:53:44.852366,2025-09-16T10:53:44.852366,processing,high,,420,
ORD_10089,Client_C,WH_MUM_2,DRV_1040,Hyderabad,Mumbai,2025-09-20T01:47:44.852366,2025-09-22T05:47:44.852366,processing,high,,240,
ORD_10090,Client_C,WH_DEL_2,DRV_1008,Kolkata,Pune,2025-09-21T08:11:44.852366,2025-09-24T08:11:44.852366,cancelled,high,weather_conditions,0,2.1212212974075575
ORD_10091,Client_E,WH_BAN_2,DRV_1007,Chennai,Mumbai,2025-09-12T11:07:44.852366,2025-09-14T11:07:44.852366,in_transit,medium,,0,
ORD_10092,Client_F,WH_MUM_2,DRV_1025,Mumbai,Bangalore,2025-09-20T02:04:44.852366,2025-09-23T02:04:44.852366,processing,low,,0,
ORD_10093,Client_F,WH_MUM_2,DRV_1043,Delhi,Chennai,2025-09-10T05:52:44.852366,2025-09-13T05:52:44.852366,processing,low,,0,
ORD_10094,Client_E,WH_CHE_1,DRV_1007,Delhi,Mumbai,2025-09-15T11:29:44.852366,2025-09-18T13:29:44.852366,in_transit,low,,120,
ORD_10095,Client_I,WH_CHE_1,DRV_1037,Hyderabad,Hyderabad,2025-09-05T09:16:44.852366,2025-09-06T12:16:44.852366,in_transit,medium,,180,
ORD_10096,Client_A,WH_BAN_2,DRV_1013,Chennai,Chennai,2025-09-24T07:50:44.852366,2025-09-25T07:50:44.852366,in_transit,medium,,0,
ORD_10097,Client_F,WH_MUM_1,DRV_1025,Bangalore,Delhi,2025-09-23T05:15:44.852366,2025-09-26T05:15:44.852366,processing,low,,0,
ORD_10098,Client_J,WH_DEL_2,DRV_1004,Kolkata,Kolkata,2025-09-26T08:14:44.852366,2025-09-29T09:14:44.852366,cancelled,medium,vehicle_breakdown,60,2.4832313559121326
ORD_10099,Client_C,WH_DEL_1,DRV_1034,Bangalore,Kolkata,2025-09-14T01:01:44.852366,2025-09-15T01:01:44.852366,returned,medium,address_not_found,0,1.4159122689635244
