date,city,weather_condition,temperature_celsius,rainfall_mm,traffic_level,traffic_delay_factor,special_event,delivery_impact_score
2025-09-14,Bangalore,cloudy,36,0,severe,2.0,,1.9
2025-09-14,Chennai,light_rain,41,42,high,1.5,,1.6
2025-09-14,Pune,fog,30,0,medium,1.2,,1.5
2025-09-14,Hyderabad,cloudy,32,0,high,1.5,,1.5
2025-09-14,Kolkata,extreme_heat,43,0,medium,1.2,,1.4
2025-09-15,Mumbai,light_rain,22,47,low,1.0,,1.2
2025-09-15,Delhi,extreme_heat,43,0,high,1.5,,1.6
2025-09-15,Bangalore,light_rain,24,29,high,1.5,,1.6
2025-09-15,Chennai,extreme_heat,42,0,low,1.0,,1.2
2025-09-15,Pune,storm,21,0,low,1.0,,1.8
2025-09-15,Hyderabad,fog,27,0,low,1.0,,1.3
2025-09-15,Kolkata,fog,42,0,high,1.5,,1.7
2025-09-16,Mumbai,extreme_heat,21,0,medium,1.2,,1.4
2025-09-16,Delhi,light_rain,43,29,severe,2.0,,2.0
2025-09-16,Bangalore,cloudy,20,0,high,1.5,,1.5
2025-09-16,Chennai,extreme_heat,35,0,low,1.0,,1.2
2025-09-16,Pune,cloudy,15,0,high,1.5,,1.5
2025-09-16,Hyderabad,heavy_rain,39,10,high,1.5,,1.9
2025-09-16,Kolkata,fog,39,0,medium,1.2,,1.5
2025-09-17,Mumbai,extreme_heat,28,0,low,1.0,,1.2
2025-09-17,Delhi,storm,45,0,severe,2.0,,2.6
2025-09-17,Bangalore,heavy_rain,21,46,severe,2.0,political_rally,2.8
2025-09-17,Chennai,light_rain,39,33,low,1.0,,1.2
2025-09-17,Pune,cloudy,35,0,low,1.0,,1.1
2025-09-17,Hyderabad,storm,43,0,medium,1.2,,2.0
2025-09-17,Kolkata,light_rain,27,32,high,1.5,,1.6
2025-09-18,Mumbai,fog,41,0,high,1.5,,1.7
2025-09-18,Delhi,clear,29,0,high,1.5,,1.4
2025-09-18,Bangalore,storm,36,0,high,1.5,,2.2
2025-09-18,Chennai,cloudy,30,0,high,1.5,,1.5
2025-09-18,Pune,light_rain,44,25,medium,1.2,,1.4
2025-09-18,Hyderabad,clear,19,0,medium,1.2,,1.2
2025-09-18,Kolkata,cloudy,20,0,low,1.0,,1.1
2025-09-19,Mumbai,clear,40,0,high,1.5,,1.4
2025-09-19,Delhi,clear,23,0,severe,2.0,,1.8
2025-09-19,Bangalore,extreme_heat,16,0,low,1.0,,1.2
2025-09-19,Chennai,storm,15,0,low,1.0,,1.8
2025-09-19,Pune,clear,27,0,low,1.0,,1.0
2025-09-19,Hyderabad,clear,19,0,high,1.5,,1.4
2025-09-19,Kolkata,cloudy,36,0,low,1.0,,1.1
2025-09-20,Mumbai,clear,37,0,high,1.5,,1.4
2025-09-20,Delhi,cloudy,18,0,severe,2.0,,1.9
2025-09-20,Bangalore,fog,40,0,low,1.0,,1.3
2025-09-20,Chennai,clear,21,0,severe,2.0,,1.8
2025-09-20,Pune,extreme_heat,21,0,high,1.5,,1.6
2025-09-20,Hyderabad,light_rain,16,35,severe,2.0,,2.0
2025-09-20,Kolkata,heavy_rain,30,21,medium,1.2,,1.7
2025-09-21,Mumbai,cloudy,44,0,low,1.0,festival,1.7
2025-09-21,Delhi,clear,17,0,severe,2.0,,1.8
2025-09-21,Bangalore,extreme_heat,18,0,low,1.0,,1.2
2025-09-21,Chennai,light_rain,24,16,medium,1.2,,1.4
2025-09-21,Pune,heavy_rain,42,2,low,1.0,strike,2.4
2025-09-21,Hyderabad,extreme_heat,36,0,high,1.5,,1.6
2025-09-21,Kolkata,light_rain,18,48,severe,2.0,,2.0
2025-09-22,Mumbai,clear,36,0,low,1.0,,1.0
2025-09-22,Delhi,storm,43,0,medium,1.2,,2.0
2025-09-22,Bangalore,heavy_rain,17,23,high,1.5,,1.9
2025-09-22,Chennai,extreme_heat,27,0,high,1.5,,1.6
2025-09-22,Pune,heavy_rain,27,44,severe,2.0,,2.3
2025-09-22,Hyderabad,extreme_heat,35,0,severe,2.0,,2.0
2025-09-22,Kolkata,extreme_heat,37,0,medium,1.2,,1.4
2025-09-23,Mumbai,storm,42,0,low,1.0,,1.8
2025-09-23,Delhi,cloudy,33,0,low,1.0,,1.1
2025-09-23,Bangalore,heavy_rain,27,49,severe,2.0,,2.3
2025-09-23,Chennai,light_rain,43,46,low,1.0,,1.2
2025-09-23,Pune,cloudy,18,0,severe,2.0,,1.9
2025-09-23,Hyderabad,heavy_rain,35,20,severe,2.0,road_construction,2.7
2025-09-23,Kolkata,clear,36,0,medium,1.2,,1.2
2025-09-24,Mumbai,extreme_heat,37,0,high,1.5,,1.6
2025-09-24,Delhi,storm,38,0,low,1.0,,1.8
2025-09-24,Bangalore,cloudy,36,0,severe,2.0,,1.9
2025-09-24,Chennai,storm,41,0,severe,2.0,,2.6
2025-09-24,Pune,fog,31,0,low,1.0,strike,2.2
2025-09-24,Hyderabad,extreme_heat,42,0,severe,2.0,,2.0
2025-09-24,Kolkata,cloudy,25,0,low,1.0,,1.1
