feedback_id,order_id,customer_id,feedback_date,delivery_rating,driver_rating,packaging_rating,overall_rating,comment,would_recommend,delivery_city
FB_40014,ORD_10727,CUST_6456,2025-09-19T12:09:44.854888,3.5,2.2,2.4,2.8,Unprofessional,False,Pune
FB_40015,ORD_10596,CUST_9674,2025-09-02T22:09:44.854893,2.3,1.5,2.4,2.1,Rude driver,False,Hyderabad
FB_40016,ORD_10867,CUST_8460,2025-09-11T21:09:44.854898,4.0,4.4,2.1,3.5,Average service,True,Pune
FB_40017,ORD_10768,CUST_6318,2025-09-22T18:09:44.854903,2.5,1.2,1.2,1.7,Lost package,False,Hyderabad
FB_40018,ORD_10771,CUST_9433,2025-09-17T14:09:44.854908,4.4,3.8,2.2,3.5,Average service,True,Bangalore
FB_40019,ORD_10885,CUST_6837,2025-08-30T04:09:44.854913,1.4,4.5,4.0,3.1,Acceptable,False,Hyderabad
FB_40020,ORD_10294,CUST_5384,2025-09-08T06:09:44.854918,2.0,4.1,4.2,3.3,Could be better,False,Chennai
FB_40021,ORD_10207,CUST_8629,2025-09-11T21:09:44.854922,2.3,3.2,1.1,2.2,Terrible service,False,Hyderabad
FB_40022,ORD_10617,CUST_6609,2025-09-02T20:09:44.854933,3.6,4.0,3.2,3.6,Acceptable,True,Delhi
FB_40023,ORD_10752,CUST_9209,2025-09-16T04:09:44.854937,1.7,3.7,1.7,2.3,Delayed delivery,False,Chennai
FB_40024,ORD_10005,CUST_7707,2025-09-24T05:09:44.854942,2.1,2.1,1.6,2.0,Lost package,False,Hyderabad
FB_40025,ORD_10502,CUST_9691,2025-08-27T14:09:44.854947,1.2,4.7,3.4,2.9,Rude driver,False,Bangalore
FB_40026,ORD_10805,CUST_9138,2025-09-22T20:09:44.854953,2.3,1.9,1.7,2.0,Delayed delivery,False,Chennai
FB_40027,ORD_10679,CUST_7718,2025-09-08T01:09:44.854957,2.6,2.4,4.5,3.1,Could be better,False,Bangalore
FB_40028,ORD_10574,CUST_5072,2025-09-16T12:09:44.854962,4.8,3.5,2.9,3.8,Average service,True,Hyderabad
FB_40029,ORD_10249,CUST_5326,2025-09-14T04:09:44.854967,2.0,3.6,4.7,3.3,Acceptable,False,Bangalore
FB_40030,ORD_10526,CUST_9167,2025-09-13T15:09:44.854971,2.5,3.2,2.1,2.6,Lost package,False,Chennai
FB_40031,ORD_10970,CUST_5786,2025-09-24T09:09:44.854977,4.6,1.8,3.1,3.3,Average service,False,Kolkata
FB_40032,ORD_10885,CUST_8475,2025-09-08T01:09:44.854981,1.0,1.3,3.7,1.9,Delayed delivery,False,Delhi
FB_40033,ORD_10836,CUST_5590,2025-09-07T20:09:44.854989,4.5,4.0,2.7,3.8,Acceptable,True,Hyderabad
FB_40034,ORD_10182,CUST_7063,2025-09-21T18:09:44.854994,2.8,2.3,1.4,2.2,Unprofessional,False,Mumbai
FB_40035,ORD_10414,CUST_8547,2025-09-07T11:09:44.854999,4.6,2.6,2.8,3.5,Could be better,False,Mumbai
FB_40036,ORD_10774,CUST_9797,2025-09-12T21:09:44.855004,1.5,1.0,3.9,2.1,Delayed delivery,False,Hyderabad
FB_40037,ORD_10621,CUST_5708,2025-08-29T16:09:44.855009,2.4,3.0,2.2,2.5,Lost package,False,Kolkata
FB_40038,ORD_10546,CUST_6801,2025-08-27T04:09:44.855014,2.5,4.3,1.1,2.6,Delayed delivery,False,Hyderabad
FB_40039,ORD_10980,CUST_5091,2025-09-13T01:09:44.855019,2.2,3.5,2.2,2.6,Rude driver,False,Kolkata
FB_40040,ORD_10312,CUST_6720,2025-09-08T14:09:44.855024,1.5,1.0,3.4,1.9,Unprofessional,False,Hyderabad
FB_40041,ORD_10164,CUST_6507,2025-08-27T19:09:44.855029,2.4,2.7,3.6,2.8,Delayed delivery,False,Pune
FB_40042,ORD_10871,CUST_9496,2025-08-30T10:09:44.855034,1.8,1.7,4.2,2.5,Package damaged,False,Hyderabad
FB_40043,ORD_10974,CUST_7710,2025-09-08T16:09:44.855039,2.2,1.3,1.4,1.7,Lost package,False,Delhi
FB_40044,ORD_10325,CUST_8980,2025-09-03T22:09:44.855044,1.9,2.1,1.3,1.8,Package damaged,False,Bangalore
FB_40045,ORD_10827,CUST_7591,2025-09-05T21:09:44.855049,2.2,3.3,3.3,2.9,Lost package,False,Delhi
FB_40046,ORD_10283,CUST_7944,2025-09-25T08:09:44.855053,2.0,1.9,4.0,2.5,Terrible service,False,Hyderabad
FB_40047,ORD_10312,CUST_8989,2025-09-02T08:09:44.855058,4.5,2.9,2.4,3.4,Acceptable,False,Mumbai
FB_40048,ORD_10912,CUST_9412,2025-09-19T22:09:44.855063,3.4,4.4,4.4,4.0,Outstanding service!,True,Bangalore
FB_40049,ORD_10832,CUST_9766,2025-09-01T22:09:44.855068,1.3,1.3,1.1,1.2,Unprofessional,False,Chennai
